Index,Name,Position,High Score,High Rebound,High Assist,High Steal,High Field Goals,High Free Throes,High Three Pointers,High Block,Total Games,Total Points,Hall Of Famer,Points,Asists,Rebound,Pie,Height,Weight,Country,Previous Team,Age,Birthdate,Draft,Experience,Total Awards
1229,Melvin Ely,Center-Forward,5 ,3 ,1 ,--,2 ,3 ,--,--,375,1992,FALSE,5.3,0.7,3.2,--,"6'10"" (2.08m)",260lb (118kg),USA,Fresno State,--,"May 2, 1978",2002 R1 Pick 12,9 Years,0
1230,Joel Embiid,Center-Forward,40 ,21 ,8 ,3 ,14 ,14 ,3 ,6 ,394,10718,FALSE,33.1,4.2,10.2,21.3,"7'0"" (2.13m)",280lb (127kg),Cameroon,Kansas,29 years,"March 16, 1994",2014 R1 Pick 3,6 Years,29
1231,Wayne Embry,Center,24 ,--,3 ,--,10 ,11 ,--,--,831,10380,FALSE,12.5,1.4,9.1,--,"6'8"" (2.03m)",240lb (109kg),USA,Miami (Ohio),--,"March 26, 1937",1958 R3 Pick 22,11 Years,0
1232,Andre Emmett,--,--,--,--,--,--,--,--,--,14,20,FALSE,1.4,0.1,0.6,--,"6'5"" (1.96m)",230lb (104kg),USA,Texas Tech,--,"August 27, 1982",2004 R2 Pick 35,3 Years,0
1233,Ned Endress,Forward,--,--,--,--,--,--,--,--,16,14,FALSE,0.9,0.3,--,--,"6'2"" (1.88m)",200lb (91kg),USA,Akron,--,"March 2, 1918",Undrafted,1 Year,0
1234,Chris Engler,Center,2 ,2 ,--,--,1 ,--,--,--,195,343,FALSE,1.8,0.2,2,--,"6'11"" (2.11m)",245lb (111kg),USA,Wyoming,--,"March 1, 1959",1982 R3 Pick 60,5 Years,0
1235,Wayne Englestad,Forward,--,--,--,--,--,--,--,--,11,28,FALSE,2.5,0.6,1.5,--,"6'8"" (2.03m)",245lb (111kg),USA,California-Irvine,--,"December 6, 1963",Undrafted,1 Year,0
1236,A.J. English,Guard,--,--,--,--,--,--,--,--,151,1502,FALSE,9.9,2.1,2.1,--,"6'3"" (1.91m)",175lb (79kg),USA,Virginia Union,--,"July 11, 1967",1990 R2 Pick 37,2 Years,0
1237,Alex English,Forward,42 ,11 ,12 ,4 ,17 ,13 ,--,3 ,1193,25613,TRUE,21.5,3.6,5.5,--,"6'8"" (2.03m)",190lb (86kg),USA,South Carolina,--,"January 5, 1954",1976 R2 Pick 23,15 Years,15
1238,Claude English,Guard,--,--,--,--,--,--,--,--,18,27,FALSE,1.5,0.3,1.1,--,"6'4"" (1.93m)",185lb (84kg),USA,Rhode Island,--,"December 26, 1946",1970 R7 Pick 110,1 Year,0
1239,Jojo English,Guard,9 ,2 ,1 ,1 ,3 ,2 ,1 ,1 ,50,179,FALSE,3.6,0.9,1.1,--,"6'4"" (1.93m)",195lb (88kg),USA,South Carolina,--,"February 4, 1970",Undrafted,3 Years,0
1240,Kim English,Guard,--,--,--,--,--,--,--,--,41,119,FALSE,2.9,0.6,0.9,--,"6'6"" (1.98m)",200lb (91kg),USA,Missouri,--,"September 24, 1988",2012 R2 Pick 44,2 Years,0
1241,Scott English,Forward,--,--,--,--,--,--,--,--,29,93,FALSE,3.2,0.5,1.5,--,"6'6"" (1.98m)",205lb (93kg),USA,Texas-El Paso,--,"October 20, 1950",1972 R3 Pick 33,1 Year,0
1242,Gene Englund,Forward,7 ,--,--,--,1 ,5 ,--,--,46,360,FALSE,7.8,0.9,--,--,"6'4"" (1.93m)",205lb (93kg),USA,Wisconsin,--,"October 21, 1917",Undrafted,1 Year,0
1243,Tyler Ennis,Guard,5 ,4 ,3 ,--,2 ,--,1 ,--,186,779,FALSE,4.2,1.9,1.3,--,"6'3"" (1.91m)",194lb (88kg),Canada,Syracuse,--,"August 24, 1994",2014 R1 Pick 18,4 Years,0
1244,James Ennis III,--,13 ,10 ,3 ,2 ,5 ,5 ,3 ,1 ,395,2629,FALSE,6.7,0.9,3.3,--,"6'6"" (1.98m)",215lb (98kg),USA,California State-Long Beach,--,"July 1, 1990",2013 R2 Pick 50,8 Years,0
1245,Ray Epps,Forward,--,--,--,--,--,--,--,--,13,26,FALSE,2,0.2,0.4,--,"6'6"" (1.98m)",195lb (88kg),USA,Norfolk State,--,"August 20, 1956",1977 R5 Pick 104,1 Year,0
1246,Semih Erden,Center,--,--,--,--,--,--,--,--,69,262,FALSE,3.8,0.4,2.8,--,"7'0"" (2.13m)",240lb (109kg),Turkey,Fenerbahce,--,"July 28, 1986",2008 R2 Pick 60,3 Years,0
1247,Semih Erden,Center,--,--,--,--,--,--,--,--,69,262,FALSE,8.2,1.4,4.6,--,"6'3"" (1.91m)",220lb (100kg),USA,Niagara,--,"July 30, 1932",1954 R5 Pick 43,1 Year,0
1248,Keith Erickson,Forward,31 ,6 ,7 ,3 ,11 ,9 ,--,1 ,766,7251,FALSE,9.5,2.6,4.5,--,"6'5"" (1.96m)",195lb (88kg),USA,UCLA,--,"April 19, 1944",1965 R3 Pick 18,12 Years,0
1249,Julius Erving,Forward,40 ,14 ,10 ,6 ,17 ,12 ,1 ,6 ,836,18364,TRUE,22,3.9,6.7,--,"6'7"" (2.01m)",200lb (91kg),USA,Massachusetts,--,"February 22, 1950",1972 R1 Pick 12,11 Years,19
1250,Evan Eschmeyer,Center,6 ,3 ,1 ,1 ,3 ,--,--,1 ,153,421,FALSE,2.8,0.5,3.9,--,"6'11"" (2.11m)",250lb (113kg),USA,Northwestern,--,"May 30, 1975",1999 R2 Pick 34,5 Years,0
1251,Jack Eskridge,Center,--,--,--,--,--,--,--,--,23,64,FALSE,2.8,0.6,--,--,"6'5"" (1.96m)",200lb (91kg),USA,Kansas,--,"January 21, 1924",Undrafted,1 Year,0
1252,Vincenzo Esposito,Guard,--,--,--,--,--,--,--,--,30,116,FALSE,3.9,0.8,0.5,--,"6'3"" (1.91m)",198lb (90kg),Italy,Fortitudo Bologna,--,"March 1, 1969",Undrafted,1 Year,0
1253,Drew Eubanks,Forward-Center,--,--,--,--,--,--,--,--,248,1523,FALSE,6.6,1.3,5.4,9.8,"6'10"" (2.08m)",245lb (111kg),USA,Oregon State,26 years,"February 1, 1997",Undrafted,4 Years,0
1254,Bob Evans,Guard,2 ,--,--,--,1 ,--,--,--,47,142,FALSE,3,1.2,--,--,"6'2"" (1.88m)",175lb (79kg),USA,Butler,--,"May 31, 1925",1949,1 Year,0
1255,Brian Evans,--,2 ,1 ,2 ,1 ,1 ,--,--,--,102,375,FALSE,3.7,0.8,1.6,--,"6'8"" (2.03m)",220lb (100kg),USA,Indiana,--,"September 13, 1973",1996 R1 Pick 27,3 Years,0
1256,Earl Evans,Forward,--,--,--,--,--,--,--,--,36,157,FALSE,4.4,1,2.1,--,"6'8"" (2.03m)",202lb (92kg),USA,UNLV,--,"November 11, 1955",1978 R8 Pick 157,1 Year,0
1257,Jacob Evans,Guard-Forward,5 ,1 ,1 ,--,2 ,--,1 ,--,59,168,FALSE,2.8,0.9,1.1,--,"6'4"" (1.93m)",210lb (95kg),USA,Cincinnati,--,"June 18, 1997",2018 R1 Pick 28,3 Years,0
1258,Jawun Evans,Guard,--,--,--,--,--,--,--,--,56,237,FALSE,4.2,2,1.7,--,"6'0"" (1.83m)",190lb (86kg),USA,Oklahoma State,--,"July 26, 1996",2017 R2 Pick 39,3 Years,0
1259,Jeremy Evans,Forward,2 ,3 ,1 ,1 ,--,2 ,--,--,250,879,FALSE,3.5,0.4,2.6,--,"6'9"" (2.06m)",200lb (91kg),USA,Western Kentucky,--,"October 24, 1987",2010 R2 Pick 55,7 Years,0
1260,Maurice Evans,Guard-Forward,16 ,4 ,4 ,2 ,7 ,4 ,4 ,1 ,562,3747,FALSE,6.7,0.7,2.5,--,"6'5"" (1.96m)",220lb (100kg),USA,Texas-Austin,--,"November 8, 1978",Undrafted,10 Years,0
1261,Mike Evans,Guard,23 ,8 ,11 ,3 ,9 ,7 ,3 ,2 ,591,4531,FALSE,7.7,2.6,1.4,--,"6'1"" (1.85m)",170lb (77kg),USA,Kansas State,--,"April 19, 1955",1978 R1 Pick 21,9 Years,0
1262,Reggie Evans,Center-Forward,15 ,15 ,3 ,2 ,5 ,7 ,--,3 ,809,3289,FALSE,4.1,0.6,7.1,--,"6'8"" (2.03m)",245lb (111kg),USA,Iowa,--,"May 18, 1980",Undrafted,13 Years,0
1263,Tyreke Evans,--,21 ,10 ,8 ,3 ,8 ,7 ,4 ,1 ,594,9347,FALSE,15.7,4.8,4.6,--,"6'6"" (1.98m)",220lb (100kg),USA,Memphis,--,"September 19, 1989",2009 R1 Pick 4,10 Years,4
1264,Daniel Ewing,Guard,2 ,--,--,--,1 ,--,--,--,127,431,FALSE,3.4,1.4,1.2,--,"6'3"" (1.91m)",185lb (84kg),USA,Duke,--,"March 26, 1983",2005 R2 Pick 32,2 Years,0
1265,Patrick Ewing,Center,45 ,22 ,10 ,7 ,18 ,17 ,1 ,8 ,1183,24815,TRUE,21,1.9,9.8,--,"7'0"" (2.13m)",255lb (116kg),Jamaica,Georgetown,--,"August 5, 1962",1985 R1 Pick 1,17 Years,35
1266,Patrick Ewing,Forward,3 ,--,--,--,1 ,--,1 ,--,7,3,FALSE,0.4,0.3,0.3,--,"6'8"" (2.03m)",235lb (107kg),USA,Georgetown,--,"May 20, 1984",2008 R2 Pick 43,2 Years,0
1267,Dante Exum,Guard,15 ,4 ,2 ,1 ,5 ,4 ,2 ,1 ,245,1389,FALSE,5.7,2.1,1.8,--,"6'5"" (1.96m)",214lb (97kg),Australia,Australian Institute of Sport,--,"July 13, 1995",2014 R1 Pick 5,7 Years,0
1268,Christian Eyenga,Forward,2 ,1 ,1 ,1 ,1 ,--,--,1 ,51,320,FALSE,6.3,0.8,2.7,--,"6'7"" (2.01m)",210lb (95kg),Congo,DKV Joventut,--,"June 22, 1989",2009 R1 Pick 30,3 Years,0
1269,Festus Ezeli,Center,12 ,9 ,2 ,1 ,5 ,6 ,--,3 ,170,712,FALSE,4.2,0.4,4.3,--,"6'11"" (2.11m)",265lb (120kg),Nigeria,Vanderbilt,--,"October 21, 1989",2012 R1 Pick 30,4 Years,0
1270,Johnny Ezersky,Baltimore Bullets,--,--,--,--,--,--,--,--,135,1031,FALSE,7.6,1.3,--,--,--,--,USA,Rhode Island,--,"April 4, 1905",1947,3 Years,0
1271,Joe Fabel,Forward,--,--,--,--,--,--,--,--,30,63,FALSE,2.1,0.1,--,--,"6'1"" (1.85m)",190lb (86kg),USA,Pittsburgh,--,"September 4, 1913",Undrafted,1 Year,0
1272,John Fairchild,Forward,--,--,--,--,--,--,--,--,30,60,FALSE,2,0.4,1.5,--,"6'7"" (2.01m)",205lb (93kg),USA,Brigham Young,--,"April 28, 1943",1965 R2 Pick 16,1 Year,0
1273,Tacko Fall,--,3 ,1 ,--,--,1 ,1 ,--,--,37,82,FALSE,2.2,0.2,2.4,--,"7'6"" (2.29m)",311lb (141kg),Senegal,Central Florida,--,"December 10, 1995",Undrafted,3 Years,0
1274,Phil Farbman,Forward,--,--,--,--,--,--,--,--,48,155,FALSE,3.2,0.8,--,--,"6'1"" (1.85m)",185lb (84kg),USA,City College of New York,--,"April 3, 1924",Undrafted,1 Year,0
1275,Kenneth Faried,Forward-Center,15 ,15 ,2 ,2 ,6 ,4 ,1 ,3 ,478,5430,FALSE,11.4,1,8.1,--,"6'8"" (2.03m)",220lb (100kg),USA,Morehead State,--,"November 19, 1989",2011 R1 Pick 22,9 Years,4
1276,Dick Farley,Guard,18 ,--,5 ,--,8 ,6 ,--,--,211,1378,FALSE,6.5,1.8,2.5,--,"6'4"" (1.93m)",190lb (86kg),USA,Indiana,--,"April 13, 1932",1954 R2 Pick 15,3 Years,0
1277,Jordan Farmar,--,14 ,5 ,7 ,3 ,5 ,6 ,3 ,1 ,504,3888,FALSE,7.7,2.9,1.9,--,"6'2"" (1.88m)",180lb (82kg),USA,UCLA,--,"November 30, 1986",2006 R1 Pick 26,10 Years,0
1278,Desmon Farmer,--,--,--,--,--,--,--,--,--,11,26,FALSE,2.4,1,0.6,--,"6'5"" (1.96m)",220lb (100kg),USA,Southern California,--,"October 7, 1981",Undrafted,2 Years,0
1279,Jim Farmer,Forward,2 ,2 ,1 ,--,1 ,--,--,--,136,715,FALSE,5.3,0.8,1.4,--,"6'4"" (1.93m)",190lb (86kg),USA,Alabama,--,"September 23, 1964",1987 R1 Pick 20,5 Years,0
1280,Mike Farmer,Forward,16 ,--,7 ,--,6 ,7 ,--,--,423,2816,FALSE,6.7,1.3,4.6,--,"6'7"" (2.01m)",210lb (95kg),USA,San Francisco,--,"September 26, 1936",1958 R1 Pick 3,7 Years,0
1281,Tony Farmer,Forward,--,--,--,--,--,--,--,--,101,532,FALSE,5.3,0.8,3.2,--,"6'9"" (2.06m)",244lb (111kg),USA,Nebraska,--,"January 3, 1970",Undrafted,3 Years,0
1282,Bob Faught,Forward,14 ,--,--,--,6 ,2 ,--,--,51,343,FALSE,6.7,0.6,--,--,"6'5"" (1.96m)",185lb (84kg),USA,Notre Dame,--,"September 2, 1921",Undrafted,1 Year,0
1283,Vitor Faverani,Center,--,--,--,--,--,--,--,--,37,164,FALSE,4.4,0.4,3.5,--,"6'11"" (2.11m)",260lb (118kg),Brazil,Valencia,--,"May 5, 1988",Undrafted,2 Years,0
1284,Derrick Favors,Forward,20 ,16 ,3 ,2 ,8 ,8 ,2 ,4 ,790,8354,FALSE,10.6,1.1,7.1,--,"6'9"" (2.06m)",265lb (120kg),USA,Georgia Tech,31 years,"July 15, 1991",2010 R1 Pick 3,13 Years,1
1285,Nick Fazekas,Forward,--,--,--,--,--,--,--,--,26,107,FALSE,4.1,0.4,3.4,--,"6'11"" (2.11m)",235lb (107kg),USA,Nevada-Reno,--,"June 17, 1985",2007 R2 Pick 34,2 Years,0
1286,Dave Fedor,Forward,--,--,--,--,--,--,--,--,7,6,FALSE,0.9,0.1,0.9,--,"6'6"" (1.98m)",190lb (86kg),USA,Florida State,--,"December 10, 1940",1962 R3 Pick 23,1 Year,0
1287,Bob Feerick,Guard,19 ,--,3 ,--,7 ,9 ,--,--,221,2936,FALSE,13.3,2,--,--,"6'3"" (1.91m)",190lb (86kg),USA,Santa Clara,--,"January 2, 1920",Undrafted,4 Years,3
1288,Butch Feher,Guard,--,--,--,--,--,--,--,--,48,248,FALSE,5.2,0.8,1.5,--,"6'4"" (1.93m)",185lb (84kg),USA,Vanderbilt,--,"May 19, 1954",1976 R2 Pick 33,1 Year,0
1289,Jamie Feick,Forward,--,--,--,--,--,--,--,--,201,911,FALSE,4.5,0.7,7.1,--,"6'8"" (2.03m)",255lb (116kg),USA,Michigan State,--,"July 3, 1974",1996 R2 Pick 48,6 Years,0
1290,Ron Feiereisel,Guard,--,--,--,--,--,--,--,--,10,30,FALSE,3,0.6,0.6,--,"6'3"" (1.91m)",185lb (84kg),USA,DePaul,--,"August 6, 1931",1953,1 Year,0
1291,George Feigenbaum,Guard,--,--,--,--,--,--,--,--,17,52,FALSE,3.1,1.1,1.4,--,"6'1"" (1.85m)",185lb (84kg),USA,Kentucky,--,"July 2, 1929",Undrafted,2 Years,0
1292,Dave Feitl,Center,2 ,1 ,--,--,1 ,2 ,--,--,275,1192,FALSE,4.3,0.5,3,--,"6'11"" (2.11m)",235lb (107kg),USA,Texas-El Paso,--,"June 8, 1962",1986 R2 Pick 43,5 Years,0
1293,Kay Felder,Guard,--,--,--,--,--,--,--,--,58,223,FALSE,3.8,1.3,1,--,"5'9"" (1.75m)",176lb (80kg),USA,Oakland,--,"March 29, 1995",2016 R2 Pick 54,3 Years,0
1294,Cristiano Felicio,Forward-Center,6 ,11 ,2 ,2 ,3 ,1 ,--,2 ,252,1078,FALSE,4.3,0.7,3.9,--,"6'11"" (2.11m)",270lb (122kg),Brazil,Flamengo,--,"July 7, 1992",Undrafted,7 Years,0
1295,Carrick Felix,Guard-Forward,--,--,--,--,--,--,--,--,7,19,FALSE,2.7,0.6,0.9,--,"6'6"" (1.98m)",201lb (91kg),USA,Arizona State,--,"August 17, 1990",2013 R2 Pick 33,2 Years,0
1296,Noel Felix,Forward,--,--,--,--,--,--,--,--,12,18,FALSE,1.5,0.2,1.1,--,"6'9"" (2.06m)",225lb (102kg),USA,Fresno State,--,"October 4, 1981",Undrafted,2 Years,0
1297,Ray Felix,Center,17 ,--,3 ,--,8 ,7 ,--,--,637,6974,FALSE,10.9,0.7,8.9,--,"6'11"" (2.11m)",220lb (100kg),USA,Long Island-Brooklyn,--,"December 10, 1930",1953 R1 Pick 1,9 Years,1
1298,Raymond Felton,Guard,27 ,11 ,11 ,4 ,10 ,6 ,4 ,2 ,971,10853,FALSE,11.2,5.2,3,--,"6'1"" (1.85m)",205lb (93kg),USA,North Carolina,--,"June 26, 1984",2005 R1 Pick 5,15 Years,4
1299,Jake Fendley,Guard,2 ,--,1 ,--,1 ,--,--,--,103,287,FALSE,2.8,0.9,1.2,--,"6'0"" (1.83m)",180lb (82kg),USA,Northwestern,--,"June 12, 1929",1951 R3 Pick 23,2 Years,0
1300,Bill Fenley,Forward,--,--,--,--,--,--,--,--,33,85,FALSE,2.6,0.5,--,--,"6'3"" (1.91m)",190lb (86kg),USA,Manhattan,--,"February 8, 1922",Undrafted,1 Year,0
1301,Desmond Ferguson,Forward,--,--,--,--,--,--,--,--,7,13,FALSE,1.9,0.1,0.6,--,"6'7"" (2.01m)",210lb (95kg),USA,Detroit,--,"July 22, 1977",Undrafted,2 Years,0
1302,Terrance Ferguson,--,9 ,3 ,3 ,1 ,3 ,--,3 ,--,204,924,FALSE,4.5,0.7,1.3,--,"6'6"" (1.98m)",190lb (86kg),USA,Adelaide,--,"May 17, 1998",2017 R1 Pick 21,4 Years,0
1303,Rudy Fernandez,--,17 ,8 ,3 ,3 ,6 ,5 ,5 ,2 ,249,2254,FALSE,9.1,2.2,2.4,--,--,--,Spain,DKV Joventut,--,"April 4, 1985",2007 R1 Pick 24,5 Years,5
1304,Bruno Fernando,Forward-Center,4 ,1 ,--,--,1 ,2 ,--,--,158,532,FALSE,3.9,0.8,3.5,9.6,"6'10"" (2.08m)",240lb (109kg),Angola,Maryland,24 years,"August 15, 1998",2019 R2 Pick 34,3 Years,0
1305,Eric Fernsten,Center,4 ,2 ,1 ,1 ,2 ,2 ,--,1 ,218,517,FALSE,2.4,0.4,1.7,--,"6'10"" (2.08m)",205lb (93kg),USA,San Francisco,--,"November 1, 1953",1975 R4 Pick 62,6 Years,0
1306,Al Ferrari,Guard,22 ,--,5 ,--,7 ,10 ,--,--,371,2525,FALSE,6.8,2.5,2.2,--,"6'4"" (1.93m)",190lb (86kg),USA,Michigan State,--,"July 6, 1933",1955 R3 Pick 15,6 Years,0
1307,Rolando Ferreira,Forward,--,--,--,--,--,--,--,--,12,9,FALSE,0.8,0.1,1.1,--,"7'1"" (2.16m)",240lb (109kg),USA,Houston,--,"May 24, 1964",1988 R2 Pick 26,1 Year,0
1308,Duane Ferrell,Forward,23 ,9 ,4 ,2 ,8 ,11 ,1 ,1 ,583,3704,FALSE,6.4,0.9,1.9,--,"6'7"" (2.01m)",215lb (98kg),USA,Georgia Tech,--,"February 28, 1965",Undrafted,11 Years,0
1309,Yogi Ferrell,Guard,2 ,1 ,1 ,--,1 ,--,--,--,259,1994,FALSE,7.7,2.3,2.1,--,"6'0"" (1.83m)",178lb (81kg),USA,Indiana,--,"May 9, 1993",Undrafted,6 Years,2
1310,Arnie Ferrin,Forward,15 ,--,3 ,--,7 ,7 ,--,--,178,1037,FALSE,5.8,1.6,4,--,"6'4"" (1.93m)",180lb (82kg),USA,Utah,--,"July 29, 1925",1948,3 Years,0
1311,Bob Ferry,Center,30 ,--,5 ,--,9 ,14 ,--,--,634,5780,FALSE,9.1,1.4,5.3,--,"6'8"" (2.03m)",230lb (104kg),USA,St. Louis,--,"May 31, 1937",1959,10 Years,0
1312,Bob Ferry,Center,30 ,--,5 ,--,9 ,14 ,--,--,634,5780,FALSE,7,1.3,2.8,--,"6'10"" (2.08m)",235lb (107kg),USA,Duke,--,"October 17, 1966",1989 R1 Pick 2,14 Years,0
1313,Kyrylo Fesenko,Center,9 ,12 ,3 ,--,4 ,4 ,--,2 ,135,305,FALSE,2.3,0.3,2,--,"7'1"" (2.16m)",280lb (127kg),Ukraine,Cherkaski,--,"December 24, 1986",2007 R2 Pick 38,6 Years,0
1314,Kenny Fields,Forward,18 ,6 ,3 ,3 ,8 ,3 ,1 ,--,184,1140,FALSE,6.2,1,2.5,--,"6'5"" (1.96m)",220lb (100kg),USA,UCLA,--,"February 9, 1962",1984 R1 Pick 21,4 Years,0
1315,Landry Fields,Guard-Forward,12 ,5 ,3 ,3 ,5 ,2 ,1 ,1 ,255,1731,FALSE,6.8,1.6,4.3,--,"6'7"" (2.01m)",215lb (98kg),USA,Stanford,--,"June 27, 1988",2010 R2 Pick 39,5 Years,3
1316,Ron Filipek,Forward,--,--,--,--,--,--,--,--,19,43,FALSE,2.3,0.4,1.3,--,"6'5"" (1.96m)",205lb (93kg),USA,Tennessee Tech,--,"February 5, 1944",1967 R9 Pick 100,1 Year,0
1317,Greg Fillmore,Center,--,--,1 ,--,--,--,--,--,49,118,FALSE,2.4,0.4,2.2,--,"7'1"" (2.16m)",240lb (109kg),USA,Cheyney,--,"March 7, 1947",1970 R8 Pick 136,2 Years,0
1318,Hank Finkel,Center,8 ,5 ,3 ,1 ,4 ,2 ,--,--,551,2790,FALSE,5.1,0.8,3.9,--,"7'0"" (2.13m)",240lb (109kg),USA,Dayton,--,"April 20, 1942",1966 R2 Pick 17,9 Years,0
1319,Michael Finley,Guard-Forward,37 ,12 ,10 ,5 ,13 ,12 ,8 ,3 ,1103,17306,FALSE,15.7,2.9,4.4,--,"6'7"" (2.01m)",225lb (102kg),USA,Wisconsin,--,"March 6, 1973",1995 R1 Pick 21,16 Years,4
1320,Danny Finn,Guard,--,--,--,--,--,--,--,--,142,1042,FALSE,7.3,4,3.9,--,"6'1"" (1.85m)",185lb (84kg),USA,St. John's (NY),--,"May 27, 1928",Undrafted,3 Years,0
1321,Dorian Finney-Smith,Forward,24 ,10 ,5 ,5 ,9 ,4 ,8 ,2 ,460,3780,FALSE,8.3,1.5,4.8,5.6,"6'7"" (2.01m)",220lb (100kg),USA,Florida,29 years,"May 4, 1993",Undrafted,6 Years,0
1322,Matt Fish,--,--,--,--,--,--,--,--,--,50,177,FALSE,3.5,0.5,2.2,--,"6'11"" (2.11m)",235lb (107kg),USA,North Carolina-Wilmington,--,"November 18, 1969",1992 R2 Pick 50,3 Years,0
1323,Derek Fisher,Guard,28 ,8 ,10 ,6 ,11 ,9 ,6 ,1 ,1287,10713,FALSE,8.3,3,2.1,--,"6'1"" (1.85m)",210lb (95kg),USA,Arkansas-Little Rock,--,"August 9, 1974",1996 R1 Pick 24,18 Years,0
1324,Gerald Fitch,--,--,--,--,--,--,--,--,--,18,84,FALSE,4.7,1.8,1.7,--,"6'3"" (1.91m)",188lb (85kg),USA,Kentucky,--,"August 12, 1982",Undrafted,2 Years,0
1325,Malik Fitts,Forward,3 ,1 ,--,--,1 ,--,1 ,--,18,24,FALSE,1.3,0.3,1.1,--,"6'5"" (1.96m)",230lb (104kg),USA,St. Mary's College,25 years,"July 4, 1997",Undrafted,3 Years,0
1326,Bob Fitzgerald,Forward,2 ,--,--,--,1 ,2 ,--,--,78,240,FALSE,3.1,0.6,--,--,"6'5"" (1.96m)",190lb (86kg),USA,Fordham,--,"March 14, 1923",Undrafted,2 Years,0
1327,Dick Fitzgerald,Forward,--,--,--,--,--,--,--,--,61,277,FALSE,4.5,0.7,--,--,"6'2"" (1.88m)",175lb (79kg),USA,Seton Hall,--,"November 18, 1920",Undrafted,2 Years,0
1328,Marcus Fizer,--,--,--,--,--,--,--,--,--,289,2782,FALSE,9.6,1.2,4.6,--,--,--,USA,Iowa State,--,"August 10, 1978",2000 R1 Pick 4,6 Years,1
1329,Jerry Fleishman,Guard,16 ,--,4 ,--,6 ,5 ,--,--,262,1512,FALSE,5.8,1.6,4.6,--,"6'2"" (1.88m)",190lb (86kg),USA,New York University,--,"February 14, 1922",Undrafted,5 Years,0
1330,Al Fleming,Forward,3 ,2 ,1 ,1 ,1 ,2 ,--,--,20,40,FALSE,2,0.4,1.5,--,"6'7"" (2.01m)",215lb (98kg),USA,Arizona,--,"April 5, 1954",1976 R2 Pick 30,1 Year,0
1331,Ed Fleming,Guard,15 ,--,2 ,--,5 ,5 ,--,--,292,2511,FALSE,8.6,1.9,5.2,--,"6'3"" (1.91m)",189lb (86kg),USA,Niagara,--,"July 25, 1933",1955 R3 Pick 16,5 Years,0
1332,Vern Fleming,Guard,19 ,11 ,8 ,3 ,9 ,9 ,1 ,1 ,893,10125,FALSE,11.3,4.8,3.4,--,"6'5"" (1.96m)",185lb (84kg),USA,Georgia,--,"February 4, 1962",1984 R1 Pick 18,12 Years,2
1333,Luis Flores,Guard,--,--,--,--,--,--,--,--,16,35,FALSE,2.2,0.7,0.2,--,"6'2"" (1.88m)",195lb (88kg),USA,Manhattan,--,"April 11, 1981",2004 R2 Pick 55,2 Years,0
1334,Bruce Flowers,Forward,--,--,--,--,--,--,--,--,53,261,FALSE,4.9,0.9,3.4,--,"6'8"" (2.03m)",225lb (102kg),USA,Notre Dame,--,"June 13, 1957",1979 R2 Pick 26,1 Year,0
1335,Sleepy Floyd,Guard,51 ,8 ,18 ,4 ,18 ,13 ,3 ,1 ,957,12260,FALSE,12.8,5.4,2.6,--,"6'3"" (1.91m)",170lb (77kg),USA,Georgetown,--,"March 6, 1960",1982 R1 Pick 13,13 Years,1
1336,Jonny Flynn,Guard,--,--,--,--,--,--,--,--,163,1504,FALSE,9.2,3.9,1.9,--,"6'0"" (1.83m)",185lb (84kg),USA,Syracuse,--,"February 6, 1989",2009 R1 Pick 6,4 Years,1
1337,Malachi Flynn,Guard,--,1 ,2 ,1 ,--,--,--,--,144,788,FALSE,4.6,1.3,1.4,5.6,"6'1"" (1.85m)",175lb (79kg),USA,San Diego State,24 years,"May 9, 1998",2020 R1 Pick 29,2 Years,1
1338,Mike Flynn,Guard,--,--,--,--,--,--,--,--,144,896,FALSE,6.2,2.2,2.1,--,"6'2"" (1.88m)",180lb (82kg),USA,Kentucky,--,"July 31, 1953",1975 R7 Pick 113,2 Years,0
1339,Larry Fogle,Guard,--,--,--,--,--,--,--,--,2,2,FALSE,1,--,1.5,--,"6'5"" (1.96m)",205lb (93kg),USA,Canisius,--,"March 19, 1953",1975 R2 Pick 34,1 Year,0
1340,Jack Foley,Forward,--,--,--,--,--,--,--,--,11,53,FALSE,4.8,0.5,1.5,--,"6'3"" (1.91m)",170lb (77kg),USA,Holy Cross,--,"April 19, 1939",1962 R2 Pick 16,1 Year,0
1341,Ike Fontaine,--,--,--,--,--,--,--,--,--,6,11,FALSE,1.8,0.7,0.8,--,--,--,USA,Washington State,--,"April 16, 1975",Undrafted,1 Year,0
1342,Levi Fontaine,Guard,3 ,--,--,--,1 ,1 ,--,--,35,134,FALSE,3.8,0.6,0.4,--,"6'4"" (1.93m)",190lb (86kg),USA,Maryland-Eastern Shore,--,"November 1, 1948",1970 R5 Pick 70,1 Year,0
1343,Simone Fontecchio,Forward,--,--,--,--,--,--,--,--,52,328,FALSE,6.3,0.8,1.7,4.6,"6'7"" (2.01m)",209lb (95kg),Italy,Baskonia,27 years,"December 9, 1995",Undrafted,Rookie,0
1344,Jeff Foote,--,--,--,--,--,--,--,--,--,4,4,FALSE,1,--,1.5,--,"7'0"" (2.13m)",265lb (120kg),USA,Cornell,--,"July 14, 1987",Undrafted,1 Year,0
